,CODIGO_INTERNO,COD_FABRICANTE,NOME_FANTASIA,PRODUTO,QTDE_EMB,UNIDADE_MEDIDA,QTDE_SPNORTE,PRECO_SPNORTE,QTDE_ABC,PRECO_ABC,QTDE_SPLESTE,PRECO_SPLESTE,sumed_quantity_for_best_price_only,best_price_with_stock
12786,"8,40094E+11",F4P9015,WEG4,FILTRO 4R MOTOR,1,PC,11,"18,29",11,"18,25",4,"18,29",11.0,18.25
12787,"8,40094E+11",FCD2064,WEG4,FILTRO COM11USTIVEL,1,PC,11,"54,31",4,"56,48",4,"52,71",4.0,52.71
12788,"8,40094E+11",FCI1122,WEG4,FILTRO COM11USTIVEL,1,PC,11,"66,2",11,"64,91",4,"64,91",15.0,64.91
12789,"8,40094E+11",JF40K22,WEG4,FILTRO 4R MOTOR,1,PC,4,"33,31",4,"33,31",4,"33,31",12.0,33.31
12790,"8,40094E+11",JFC500,WEG4,FILTRO COM11USTIVEL,1,PC,4,"89,1",4,"89,1",4,"95,98",8.0,89.1
12791,"8,40094E+11",WFC916,WEG4,FILTRO OLEO C4M11IO 4UTOM4TICO,1,PC,4,"78,49",,0,4,"78,49",8.0,78.49
12792,"8,40094E+11",WFC924,WEG4,FILTRO OLEO C4M11IO 4UTOM4TICO,1,PC,11,"78,21",11,"78,21",4,"78,21",26.0,78.21
12793,"8,40094E+11",WOE681,WEG4,FILTRO OLEO REFIL,1,PC,11,"29,9",11,"29,9",11,"29,9",33.0,29.9
12794,"8,40094E+11",4KX1100/C,WEG4,FILTRO C411INE 4R CONDICION4DO C/C4RV4O,1,PC,4,"38,17",4,"38,17",4,"38,17",12.0,38.17
12795,"8,40094E+11",4KX3566/2,WEG4,FILTRO C411INE 4R CONDICION4DO,1,CJ,4,"24,18",4,"24,23",,0,4.0,24.18
12796,"8,40094E+11",FCD3029,WEG4,FILTRO COM11USTIVEL SEP4R4DOR S/COPO,1,PC,11,"87,2",4,"87,2",4,"87,2",19.0,87.2
12797,"8,40094E+11",FCI1123,WEG4,FILTRO COM11USTIVEL 4LUMINIO 2 11ICOS,1,PC,4,"62,09",11,"62,09",4,"62,09",19.0,62.09
12798,"8,40094E+11",WFC942,WEG4,FILTRO OLEO C4M11IO 4UTOM4TICO,1,PC,4,"127,48",4,"117,22",,0,4.0,117.22
12799,"8,40094E+11",WOE813,WEG4,FILTRO OLEO REFIL,1,PC,4,"37,18",4,"40,52",4,"40,52",4.0,37.18
12800,"8,40094E+11",FCD0120,WEG4,FILTRO COM11USTIVEL ECOLOGICO REFIL,1,PC,4,"67,54",4,"69,27",4,"69,27",4.0,67.54
12801,"8,40094E+11",FCD2058,WEG4,FILTRO COM11USTIVEL P4PEL 11O11IN4DO C/DREN,1,PC,4,"39,05",4,"32,94",4,"35,49",4.0,32.94
