,Price,Price,Price,Price,Price,Price,Price,Price,Price,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,sum_min_quantity
supplier,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,
key,,,,,,,,,,,,,,,,,,,
3rho4422,0.0,,,34.64,,,,,0.0,3.0,,,32.0,,,,,32.0,3.0
3rho4423,0.0,,,34.85,,,,,0.0,4.0,,,11.0,,,,,31.0,4.0
3rho4428,,,,46.61,,,,,0.0,,,,52.0,,,,,2.0,2.0
3rho4429,0.0,,,44.57,,,,,0.0,3.0,,,4.0,,,,,2.0,2.0
3rho4430,0.0,,,42.64,,,,,0.0,1.0,,,3.0,,,,,2.0,1.0
3rho4433,0.0,,,42.53,,,,,0.0,4.0,,,1.0,,,,,5.0,4.0
3rho4434,0.0,,,40.51,,,,,0.0,1.0,,,3.0,,,,,2.0,1.0
3rho4435,0.0,,,40.74,,,,,0.0,3.0,,,38.0,,,,,4.0,3.0
3rho4439,,,,60.2,,,,,0.0,,,,7.0,,,,,3.0,3.0
3rho4440,0.0,,,83.1,,,,,0.0,2.0,,,6.0,,,,,4.0,2.0
3rho4443,0.0,,,,,,,,0.0,1.0,,,,,,,,4.0,1.0
3rho4444,0.0,,,,,,,,0.0,1.0,,,,,,,,60.0,1.0
3rho4445,,,,57.51,,,,,0.0,,,,39.0,,,,,12.0,12.0
3rho4446,,,,85.79,,,,,0.0,,,,6.0,,,,,3.0,3.0
3rho4448,0.0,,,,,,,,0.0,2.0,,,,,,,,3.0,2.0
3rho4452,,,,80.72,,,,,0.0,,,,3.0,,,,,3.0,3.0
3rho4453,0.0,,,96.62,,,,,0.0,1.0,,,2.0,,,,,2.0,1.0
3rho4455,0.0,,,33.6,,,,,0.0,1.0,,,6.0,,,,,11.0,1.0
3rho4457,,,,,0.0,,,,0.0,,,,,4.0,,,,2.0,2.0
3rho4460,,,,39.74,,,,,0.0,,,,4.0,,,,,1.0,1.0
3rho4464,,,,,0.0,,,,0.0,,,,,11.0,,,,15.0,11.0
3rho4466,0.0,,,36.83,0.0,,,,0.0,1.0,,,19.0,1.0,,,,14.0,1.0
3rho4469,,,,38.01,,,,,0.0,,,,23.0,,,,,25.0,25.0
3rho4470,0.0,,,56.77,,,,,0.0,1.0,,,4.0,,,,,3.0,1.0
3rho4474,0.0,,,42.49,,,,,0.0,3.0,,,61.0,,,,,9.0,3.0
3rho4476,0.0,,,100.14,,,,,0.0,3.0,,,25.0,,,,,2.0,2.0
3rho4478,0.0,,,36.81,,,,,0.0,5.0,,,41.0,,,,,11.0,5.0
3rho4479,0.0,,,35.22,,,,,0.0,2.0,,,9.0,,,,,6.0,2.0
3rho4484,,,,,0.0,,,,0.0,,,,,2.0,,,,2.0,2.0
3rho4485,,,,95.73,,,,,0.0,,,,7.0,,,,,7.0,7.0
3rho4487,0.0,,,,,,,,0.0,1.0,,,,,,,,2.0,1.0
3rho4488,0.0,,,49.19,,,,,0.0,1.0,,,1.0,,,,,3.0,1.0
3rho4489,0.0,,,50.88,,,,,0.0,2.0,,,19.0,,,,,10.0,2.0
3rho4490,0.0,,,51.68,,,,,0.0,2.0,,,2.0,,,,,3.0,2.0
3rho4491,0.0,,,131.94,,,,,0.0,2.0,,,1.0,,,,,1.0,1.0
3rho5587,,,,,0.0,,,,0.0,,,,,3.0,,,,3.0,3.0
3rho6611,,,,,0.0,,,,0.0,,,,,5.0,,,,12.0,5.0
3rho6615,,,,,0.0,,,,0.0,,,,,5.0,,,,3.0,3.0
3rho6619,,,,,0.0,,,,0.0,,,,,4.0,,,,3.0,3.0
3rho6624,,,,,0.0,,,,0.0,,,,,4.0,,,,4.0,4.0
3rho7703,,,,,0.0,,,,0.0,,,,,12.0,,,,6.0,6.0
3rho7725,,,,,0.0,,,,0.0,,,,,2.0,,,,3.0,2.0
3rho7730,,,,,0.0,,,,0.0,,,,,5.0,,,,10.0,5.0
3rho7731,,,,,0.0,,,,0.0,,,,,4.0,,,,1.0,1.0
3rho7743,,,,,0.0,,,,0.0,,,,,2.0,,,,3.0,2.0
3rho9901,0.0,,,89.38,,,,,0.0,1.0,,,9.0,,,,,3.0,1.0
3rho9902,,,,88.61,0.0,,,,0.0,,,,1.0,2.0,,,,1.0,1.0
3rho9903,0.0,,,94.64,,,,,0.0,1.0,,,7.0,,,,,2.0,1.0
3rho9904,0.0,,,93.55,,,,,0.0,1.0,,,5.0,,,,,1.0,1.0
3rho9905,0.0,,,,,,,,0.0,1.0,,,,,,,,2.0,1.0
3rho9906,0.0,,,94.14,,,,,0.0,2.0,,,9.0,,,,,3.0,2.0
3rho9907,0.0,,,107.88,,,,,0.0,2.0,,,5.0,,,,,4.0,2.0
adacoplam207,,,,,0.0,0.0,,,,,,,,1.0,1.0,,,,1.0
aje087073,0.0,,,11.47,,,,,,4.0,,,58.0,,,,,,4.0
aje087075,0.0,,,20.64,,,,,,5.0,,,28.0,,,,,,5.0
aje087079,0.0,,,10.74,,,,,,4.0,,,74.0,,,,,,4.0
aje087080,0.0,,,8.56,,,,,,3.0,,,6.0,,,,,,3.0
aje087081,0.0,,,9.53,,,,,,3.0,,,60.0,,,,,,3.0
aje087082,0.0,,,27.2,,,,,,3.0,,,3.0,,,,,,3.0
aje087083,0.0,,,45.58,,,,,,1.0,,,14.0,,,,,,1.0
aje087084,0.0,,,9.25,,,,,,3.0,,,42.0,,,,,,3.0
aje087085,0.0,,,24.03,,,,,,7.0,,,86.0,,,,,,7.0
aje087086,0.0,,,24.94,,,,,,3.0,,,53.0,,,,,,3.0
aje087087,0.0,,,22.38,,,,,,3.0,,,46.0,,,,,,3.0
aje087090,0.0,,,12.07,,,,,,1.0,,,11.0,,,,,,1.0
aje087091,0.0,,,9.25,,,,,,2.0,,,38.0,,,,,,2.0
aje087092,0.0,,,8.45,,,,,,4.0,,,4.0,,,,,,4.0
aje087094,0.0,,,52.69,,0.0,,,,4.0,,,1.0,,1.0,,,,1.0
aje087096,0.0,,,51.2,,0.0,,,,5.0,,,11.0,,1.0,,,,1.0
aje087097,0.0,,,69.34,,,,,,2.0,,,5.0,,,,,,2.0
aje087098,0.0,,,18.74,,0.0,,,,3.0,,,7.0,,1.0,,,,1.0
aje087099,0.0,,,21.87,,,,,,5.0,,,1.0,,,,,,5.0
aje087100,0.0,,,52.47,,0.0,,,,12.0,,,21.0,,1.0,,,,1.0
aje087101,0.0,,,56.28,,,,,,6.0,,,1.0,,,,,,6.0
aje087102,0.0,,,31.43,,,,,,1.0,,,7.0,,,,,,1.0
aje087105,0.0,,,14.3,,,,,,8.0,,,205.0,,,,,,8.0
aje087106,0.0,,,55.43,,0.0,,,,8.0,,,1.0,,1.0,,,,1.0
aje087107,0.0,,,92.75,,0.0,,,,2.0,,,13.0,,1.0,,,,1.0
aje087108,0.0,,,34.68,,,,,,5.0,,,154.0,,,,,,5.0
aje087109,0.0,,,35.43,,,,,,2.0,,,31.0,,,,,,2.0
aje087110,0.0,,,26.22,,,,,,16.0,,,420.0,,,,,,16.0
aje087111,0.0,,,30.47,,,,,,10.0,,,88.0,,,,,,10.0
aje087112,0.0,,,71.12,,0.0,,,,1.0,,,5.0,,1.0,,,,1.0
aje087114,0.0,,,65.82,,0.0,,,,3.0,,,3.0,,1.0,,,,1.0
aje087115,0.0,,,31.0,,0.0,,,,1.0,,,1.0,,1.0,,,,1.0
aje087117,0.0,,,124.67,,,,,,2.0,,,3.0,,,,,,2.0
aje087118,,,,61.27,,0.0,,,,,,,1.0,,1.0,,,,1.0
aje087121,0.0,,,30.25,,,,,,2.0,,,13.0,,,,,,2.0
aje087122,0.0,,,68.45,,,,,,4.0,,,5.0,,,,,,4.0
aje087124,0.0,,,12.57,,,,,,7.0,,,69.0,,,,,,7.0
aje087125,0.0,,,56.73,,,,,,5.0,,,52.0,,,,,,5.0
aje087126,,,,74.13,,0.0,,,,,,,66.0,,1.0,,,,1.0
aje087127,,,,116.45,,0.0,,,,,,,1.0,,1.0,,,,1.0
aje087129,0.0,,,61.13,,,,,,2.0,,,7.0,,,,,,2.0
aje087130,0.0,,,61.13,,,,,,3.0,,,3.0,,,,,,3.0
aje087131,0.0,,,36.73,,,,,,2.0,,,3.0,,,,,,2.0
aje087133,0.0,,,40.06,,0.0,,,,3.0,,,5.0,,1.0,,,,1.0
aje087136,0.0,,,81.77,,,,,,1.0,,,1.0,,,,,,1.0
aje087138,0.0,,,64.94,,0.0,,,,2.0,,,47.0,,1.0,,,,1.0
aje087143,0.0,,,,,0.0,,,,5.0,,,,,1.0,,,,1.0
aje087145,0.0,,,38.8,,,,,,5.0,,,70.0,,,,,,5.0
aje087147,0.0,,,72.55,,0.0,,,,2.0,,,5.0,,1.0,,,,1.0
aje087149,0.0,,,64.56,,,,,,1.0,,,3.0,,,,,,1.0
aje087150,0.0,,,18.63,,,,,,4.0,,,110.0,,,,,,4.0
aje087153,0.0,,,84.42,,,,,,3.0,,,4.0,,,,,,3.0
aje087154,0.0,,,45.0,,0.0,,,,2.0,,,6.0,,1.0,,,,1.0
aje087155,0.0,,,40.36,,,,,,5.0,,,31.0,,,,,,5.0
aje087156,0.0,,,10.58,,,,,,3.0,,,4.0,,,,,,3.0
aje087157,0.0,,,11.75,,,,,,2.0,,,2.0,,,,,,2.0
aje087159,0.0,,,,,0.0,,,,1.0,,,,,1.0,,,,1.0
aje087161,0.0,,,5.9,,,,,,10.0,,,8.0,,,,,,10.0
aje087162,0.0,,,10.68,,0.0,,,,1.0,,,8.0,,1.0,,,,1.0
aje087163,0.0,,,9.67,,,,,,14.0,,,33.0,,,,,,14.0
aje087167,0.0,,,19.31,,,,,,2.0,,,10.0,,,,,,2.0
aje087170,0.0,,,21.7,,,,,,1.0,,,16.0,,,,,,1.0
aje087171,0.0,,,21.32,,,,,,2.0,,,17.0,,,,,,2.0
aje087172,0.0,,,21.32,,,,,,2.0,,,10.0,,,,,,2.0
aje087173,0.0,,,40.32,,,,,,2.0,,,2.0,,,,,,2.0
aje087174,0.0,,,,,0.0,,,,2.0,,,,,1.0,,,,1.0
aje087176,0.0,,,26.91,,0.0,,,,1.0,,,42.0,,1.0,,,,1.0
aje087186,0.0,,,39.86,,,,,,2.0,,,3.0,,,,,,2.0
aje087191,0.0,,,14.6,,,,,,2.0,,,19.0,,,,,,2.0
aje087192,0.0,,,12.24,,,,,,2.0,,,21.0,,,,,,2.0
aje087193,0.0,,,41.32,,,,,,2.0,,,15.0,,,,,,2.0
aje087194,0.0,,,56.9,,,,,,2.0,,,11.0,,,,,,2.0
aje087196,0.0,,,14.64,,,,,,1.0,,,4.0,,,,,,1.0
aje087197,0.0,,,14.84,,,,,,1.0,,,3.0,,,,,,1.0
aje087198,0.0,,,68.2,,0.0,,,,1.0,,,33.0,,1.0,,,,1.0
aje087204,0.0,,,185.23,,0.0,,,,2.0,,,24.0,,1.0,,,,1.0
aje087207,0.0,,,147.48,,0.0,,,,1.0,,,1.0,,1.0,,,,1.0
aje087209,0.0,,,34.83,,0.0,,,,2.0,,,2.0,,1.0,,,,1.0
aje087212,0.0,,,30.53,,0.0,,,,1.0,,,4.0,,1.0,,,,1.0
aje087216,0.0,,,71.66,,0.0,,,,1.0,,,2.0,,1.0,,,,1.0
aje087220,0.0,,,95.53,,,,,,2.0,,,7.0,,,,,,2.0
aje087230,0.0,,,115.33,,,,,,4.0,,,2.0,,,,,,4.0
aje087232,,,,13.9,,0.0,,,,,,,7.0,,1.0,,,,1.0
aje087233,,,,19.93,,0.0,,,,,,,1.0,,1.0,,,,1.0
aje087235,,,,37.21,,0.0,,,,,,,4.0,,1.0,,,,1.0
aje087238b,0.0,,,113.88,,0.0,,,,1.0,,,8.0,,1.0,,,,1.0
aje087239a,0.0,,,113.88,,,,,,1.0,,,1.0,,,,,,1.0
aje087240a,0.0,,,119.67,,,,,,3.0,,,31.0,,,,,,3.0
aje087252,0.0,,,129.84,,,,,,2.0,,,16.0,,,,,,2.0
aje087257,0.0,,,18.66,,,,,,1.0,,,9.0,,,,,,1.0
aje087258,0.0,,,25.78,,,,,,4.0,,,17.0,,,,,,4.0
aje275742,,,,6.56,,0.0,,,,,,,11.0,,1.0,,,,1.0
aje403454,0.0,,,21.43,,,,,,2.0,,,1.0,,,,,,2.0
aje403694,0.0,,,21.43,,,,,,1.0,,,2.0,,,,,,1.0
aje403849,0.0,,,21.43,,,,,,1.0,,,4.0,,,,,,1.0
aje403897,0.0,,,21.43,,,,,,2.0,,,2.0,,,,,,2.0
aje403898,0.0,,,49.69,,,,,,2.0,,,1.0,,,,,,2.0
aje932140j,0.0,,,6.75,,,,,,1.0,,,3.0,,,,,,1.0
aje932276j,0.0,,,6.75,,,,,,1.0,,,5.0,,,,,,1.0
ampri26114,0.0,,,,,0.0,,,,1.0,,,,,1.0,,,,1.0
autostaraccp01002,0.0,,,398.27,,,,,,2.0,,,12.0,,,,,,2.0
autostarajh02013,0.0,,,122.01,,,,,,1.0,,,12.0,,,,,,1.0
autostarajh08006abs,0.0,,,148.66,,,,,,4.0,,,8.0,,,,,,4.0
autostaratp03009,0.0,,,60.01,,,,,,2.0,,,3.0,,,,,,2.0
autostaratp06005,0.0,,,30.06,,,,,,4.0,,,21.0,,,,,,4.0
autostaravts04007,0.0,,,138.35,,,,,,4.0,,,4.0,,,,,,4.0
autostaravts06005t82,0.0,,,65.92,,,,,,3.0,,,8.0,,,,,,3.0
autostaravts06007t82,0.0,,,28.27,,,,,,2.0,,,10.0,,,,,,2.0
axios0110206,0.0,,,,,0.0,,,,2.0,,,,,1.0,,,,1.0
axios0110276,0.0,,,,,0.0,,,,2.0,,,,,1.0,,,,1.0
axios0110295,0.0,,,,,0.0,,,,3.0,,,,,1.0,,,,1.0
axios0110377,0.0,,,,,0.0,,,,5.0,,,,,1.0,,,,1.0
axios0110438,0.0,,,,,0.0,,,,19.0,,,,,1.0,,,,1.0
axios0110450,0.0,,,,,0.0,,,,5.0,,,,,1.0,,,,1.0
