,Price,Price,Price,Price,Price,Price,Price,Price,Price,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,sum_min_quantity
supplier,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,
key,,,,,,,,,,,,,,,,,,,
aje087161,10.02,,,5.9,,,,,,0.0,,,8.0,,,,,,8.0
aje087162,16.1,,,10.68,,13.76,,,,0.0,,,8.0,,0.0,,,,8.0
aje087163,18.0,,,9.67,,,,,,0.0,,,33.0,,,,,,33.0
aje087167,25.78,,,19.31,,,,,,0.0,,,10.0,,,,,,10.0
aje087170,32.27,,,21.7,,,,,,0.0,,,16.0,,,,,,16.0
aje087171,32.26,,,21.32,,,,,,0.0,,,17.0,,,,,,17.0
aje087172,34.56,,,21.32,,,,,,0.0,,,10.0,,,,,,10.0
aje087173,46.55,,,40.32,,,,,,0.0,,,2.0,,,,,,2.0
aje087174,104.93,,,,,101.27,,,,0.0,,,,,0.0,,,,0.0
aje087176,33.94,,,26.91,,34.66,,,,0.0,,,42.0,,0.0,,,,42.0
aje087186,46.5,,,39.86,,,,,,0.0,,,3.0,,,,,,3.0
aje087191,21.53,,,14.6,,,,,,0.0,,,19.0,,,,,,19.0
aje087192,20.15,,,12.24,,,,,,0.0,,,21.0,,,,,,21.0
aje087193,55.32,,,41.32,,,,,,0.0,,,15.0,,,,,,15.0
aje087194,54.16,,,56.9,,,,,,0.0,,,11.0,,,,,,0.0
aje087196,21.74,,,14.64,,,,,,0.0,,,4.0,,,,,,4.0
aje087197,22.06,,,14.84,,,,,,0.0,,,3.0,,,,,,3.0
aje087198,84.98,,,68.2,,73.75,,,,0.0,,,33.0,,0.0,,,,33.0
aje087204,207.49,,,185.23,,213.46,,,,0.0,,,24.0,,0.0,,,,24.0
aje087207,177.71,,,147.48,,175.63,,,,0.0,,,1.0,,0.0,,,,1.0
aje087209,45.64,,,34.83,,38.21,,,,0.0,,,2.0,,0.0,,,,2.0
aje087212,42.48,,,30.53,,33.48,,,,0.0,,,4.0,,0.0,,,,4.0
aje087216,97.16,,,71.66,,94.33,,,,0.0,,,2.0,,0.0,,,,2.0
aje087220,137.85,,,95.53,,,,,,0.0,,,7.0,,,,,,7.0
aje087230,94.59,,,115.33,,,,,,0.0,,,2.0,,,,,,0.0
aje087232,,,,13.9,,18.34,,,,,,,7.0,,0.0,,,,7.0
aje087233,,,,19.93,,25.75,,,,,,,1.0,,0.0,,,,1.0
aje087235,,,,37.21,,42.63,,,,,,,4.0,,0.0,,,,4.0
aje087238b,166.01,,,113.88,,136.21,,,,0.0,,,8.0,,0.0,,,,8.0
aje087239a,167.08,,,113.88,,,,,,0.0,,,1.0,,,,,,1.0
aje087240a,148.3,,,119.67,,,,,,0.0,,,31.0,,,,,,31.0
aje087252,179.32,,,129.84,,,,,,0.0,,,16.0,,,,,,16.0
aje087257,28.22,,,18.66,,,,,,0.0,,,9.0,,,,,,9.0
aje087258,36.84,,,25.78,,,,,,0.0,,,17.0,,,,,,17.0
aje275742,,,,6.56,,8.3,,,,,,,11.0,,0.0,,,,11.0
aje403454,28.82,,,21.43,,,,,,0.0,,,1.0,,,,,,1.0
aje403694,22.18,,,21.43,,,,,,0.0,,,2.0,,,,,,2.0
aje403849,28.57,,,21.43,,,,,,0.0,,,4.0,,,,,,4.0
aje403897,30.78,,,21.43,,,,,,0.0,,,2.0,,,,,,2.0
aje403898,61.25,,,49.69,,,,,,0.0,,,1.0,,,,,,1.0
aje932140j,10.41,,,6.75,,,,,,0.0,,,3.0,,,,,,3.0
aje932276j,11.77,,,6.75,,,,,,0.0,,,5.0,,,,,,5.0
ampri26114,883.22,,,,,782.57,,,,0.0,,,,,0.0,,,,0.0
autostaraccp01002,493.39,,,398.27,,,,,,0.0,,,12.0,,,,,,12.0
autostarajh02013,151.03,,,122.01,,,,,,0.0,,,12.0,,,,,,12.0
autostarajh08006abs,181.69,,,148.66,,,,,,0.0,,,8.0,,,,,,8.0
autostaratp03009,78.21,,,60.01,,,,,,0.0,,,3.0,,,,,,3.0
autostaratp06005,40.87,,,30.06,,,,,,0.0,,,21.0,,,,,,21.0
autostaravts04007,166.49,,,138.35,,,,,,0.0,,,4.0,,,,,,4.0
autostaravts06005t82,80.91,,,65.92,,,,,,0.0,,,8.0,,,,,,8.0
autostaravts06007t82,35.53,,,28.27,,,,,,0.0,,,10.0,,,,,,10.0
axios0110206,74.76,,,,,63.64,,,,0.0,,,,,0.0,,,,0.0
axios0110276,54.23,,,,,38.27,,,,0.0,,,,,0.0,,,,0.0
axios0110295,52.01,,,,,36.35,,,,0.0,,,,,0.0,,,,0.0
axios0110377,23.55,,,,,19.74,,,,0.0,,,,,0.0,,,,0.0
axios0110438,16.97,,,,,12.64,,,,0.0,,,,,0.0,,,,0.0
axios0110450,25.92,,,,,17.74,,,,0.0,,,,,0.0,,,,0.0
axios0110690,29.16,,,,,20.85,,,,0.0,,,,,0.0,,,,0.0
axios0110754,38.52,,,,,28.23,,,,0.0,,,,,0.0,,,,0.0
axios0111247,62.12,,,,,45.91,,,,0.0,,,,,0.0,,,,0.0
axios0111249,40.16,,,,,28.65,,,,0.0,,,,,0.0,,,,0.0
axios0111713,88.85,,,,,66.62,,,,0.0,,,,,0.0,,,,0.0
axios0112029,53.0,,,,,32.34,,,,0.0,,,,,0.0,,,,0.0
axios0112234,60.0,,,,,42.9,,,,0.0,,,,,0.0,,,,0.0
axios0112417,38.7,,,,,29.54,,,,0.0,,,,,0.0,,,,0.0
axios0112439,66.92,,,,,62.62,,,,0.0,,,,,0.0,,,,0.0
axios0112444,43.85,,,,,38.04,,,,0.0,,,,,0.0,,,,0.0
axios0112748,39.54,,,,,25.91,,,,0.0,,,,,0.0,,,,0.0
axios0112808,48.19,,,,,39.81,,,,0.0,,,,,0.0,,,,0.0
axios0112859,63.79,,,,,50.01,,,,0.0,,,,,0.0,,,,0.0
