Filial;Produto;Descricao;NCM;Disponivel;Preco;Marca;Cód.Fabricante
2-SP;41365;MAÇANETA INT. PORTA DIANT. (PLAST./PRETO)                             ;83023000;3;4,74;JAHU PLACA PRETA              ;
2-SP;41372;BUCHA DO FAROL PAINEL DIANT.                                          ;87089990;40;0,64;JAHU PLACA PRETA              ;
2-SP;41440;ARO DO FAROL ESQ. (PRETO)                                             ;87082999;0;41,47;JAHU PLACA PRETA              ;
2-SP;41457;ARO DO FAROL DIR. (PRETO)                                             ;87082999;0;41,47;JAHU PLACA PRETA              ;
2-SP;41532;GUARNIÇÃO QUEBRA-VENTO ESQ.                                           ;40082900;2;83,81;JAHU PLACA PRETA              ;
2-SP;41549;GUARNIÇÃO QUEBRA-VENTO DIR.                                           ;40082900;0;83,81;JAHU PLACA PRETA              ;
2-SP;41808;PONTEIRA PARA-CHOQUE DIANT. ESQ. (PTO)                                ;87081000;> 10.00   ;13,41;JAHU PLACA PRETA              ;
2-SP;41815;PONTEIRA PARA-CHOQUE DIANT. DIR. (PTO)                                ;87081000;7;13,41;JAHU PLACA PRETA              ;
2-SP;41822;PONTEIRA PARA-CHOQUE TRAS. ESQ. (PTO)                                 ;87081000;7;14,73;JAHU PLACA PRETA              ;
2-SP;41839;PONTEIRA PARA-CHOQUE TRAS. DIR. (PTO)                                 ;87081000;4;14,73;JAHU PLACA PRETA              ;
2-SP;41914;PORCA DA GRADE RAPIDA                                                 ;73181500;200;0,64;JAHU PLACA PRETA              ;
2-SP;41921;QUEBRA-SOL DIR./ESQ. (PTO/BCO) (C/2 SUP.)                             ;87082999;1;27,89;JAHU PLACA PRETA              ;
2-SP;41952;GRADE RADIADOR ESQ.                                                   ;87082992;3;25,5;JAHU PLACA PRETA              ;
2-SP;41969;GRADE RADIADOR DIR.                                                   ;87082992;3;25,5;JAHU PLACA PRETA              ;
2-SP;41976;GRADE RADIADOR                                                        ;87082912;> 10.00   ;34,5;JAHU PLACA PRETA              ;
2-SP;41983;GRADE RADIADOR                                                        ;87082992;0;60,38;JAHU PLACA PRETA              ;
2-SP;42010;COXIM DO CARDAN TRAS. LATERAL                                         ;87089990;4;26,13;JAHU PLACA PRETA              ;
2-SP;42119;FLEXÍVEL FREIO DIANT. (350MM)                                         ;87089990;0;34,82;JAHU PLACA PRETA              ;
2-SP;42171;CANALETA DA PORTA (C/PESTANA)                                         ;40081900;> 10.00   ;60,33;JAHU PLACA PRETA              ;
2-SP;42188;CANALETA DA PORTA (C/PESTANA)                                         ;40082900;1;57,46;JAHU PLACA PRETA              ;
2-SP;42195;PESTANA INT. PORTA                                                    ;40082900;> 10.00   ;7,48;JAHU PLACA PRETA              ;
2-SP;42201;PESTANA EXT. PORTA                                                    ;40082900;0;7,03;JAHU PLACA PRETA              ;
2-SP;42294;PESTANA INT. PORTA                                                    ;40082900;0;9,13;JAHU PLACA PRETA              ;
2-SP;42300;KIT AMORTECEDOR DIANT. (BATENTE/GUARDA-PÓ SP.)                        ;87088000;> 10.00   ;9,43;JAHU PLACA PRETA              ;
2-SP;42324;KIT AMORTECEDOR DIANT. (BATENTE/COXIM/GUARDA-PÓ SP./ROLAMENTO)        ;87088000;> 10.00   ;93,65;JAHU PLACA PRETA              ;
2-SP;42362;PONTEIRA PARA-CHOQUE DIANT. ESQ. (PTO)                                ;87081000;0;14,8;JAHU PLACA PRETA              ;
