COD COMPEL;COD FABRICA;QTDE EMBALAGEM;UNIDADE MEDIDA;DISPONIBILIDADE;PREÇO;FABRICANTE
120348;120348;2;Pc;A;27,01;TENNECO AUTOMOTIVE BRASIL LTDA.
120349;120349;2;Pc;B;35,64;TENNECO AUTOMOTIVE BRASIL LTDA.
120399;120399;4;Pc;B;10,91;TENNECO AUTOMOTIVE BRASIL LTDA.
120436;120436;2;Pc;A;6,55;TENNECO AUTOMOTIVE BRASIL LTDA.
120508;120508;2;Pc;B;14,24;TENNECO AUTOMOTIVE BRASIL LTDA.
120732;120732;2;Pc;Indisponível;37,32;TENNECO AUTOMOTIVE BRASIL LTDA.
120768;120768;2;Pc;Indisponível;44,22;TENNECO AUTOMOTIVE BRASIL LTDA.
120769;120769;2;Pc;Indisponível;55,01;TENNECO AUTOMOTIVE BRASIL LTDA.
120890;120890;2;Pc;A;29,26;TENNECO AUTOMOTIVE BRASIL LTDA.
121262;121262;2;Pc;A;37,75;TENNECO AUTOMOTIVE BRASIL LTDA.
121263;121263;2;Pc;A;35,03;TENNECO AUTOMOTIVE BRASIL LTDA.
12158;12158;1;Pc;Indisponível;0;STABILUS LTDA
121604;121604;2;Pc;A;29,41;TENNECO AUTOMOTIVE BRASIL LTDA.
121606;121606;2;Pc;A;18,83;TENNECO AUTOMOTIVE BRASIL LTDA.
121610;121610;4;Pc;A;23,38;TENNECO AUTOMOTIVE BRASIL LTDA.
121635;121635;2;Pc;B;70,87;TENNECO AUTOMOTIVE BRASIL LTDA.
121736;121736;4;Pc;A;14,5;TENNECO AUTOMOTIVE BRASIL LTDA.
122264;122264;1;Pc;Indisponível;119,15;TENNECO AUTOMOTIVE BRASIL LTDA.
122717;122717;2;Pc;A;82,79;TENNECO AUTOMOTIVE BRASIL LTDA.
122718;122718;2;Pc;A;104,34;TENNECO AUTOMOTIVE BRASIL LTDA.
1234;1234;1;Pc;Indisponível;0;EAGLE DO BRASIL LTDA
12559;12559;1;Pc;Indisponível;124,95;STABILUS LTDA
12815;12815;1;Pc;Indisponível;125,1;STABILUS LTDA
130701233;130701233;1;Pc;Indisponível;474,23;ROBERT BOSCH LTDA
131599;131599;4;Pc;Indisponível;20,88;TENNECO AUTOMOTIVE BRASIL LTDA.
131739;131739;1;Pc;Indisponível;64,09;TENNECO AUTOMOTIVE BRASIL LTDA.
14232;14232;1;Pc;A;126,72;STABILUS LTDA
15;15;1;Pc;Indisponível;43,17;DYNA INDUSTRIA E COMERCIO LTDA
16955;16955;1;Pc;A;101,96;STABILUS LTDA
17;17;1;Pc;C;45,64;DYNA INDUSTRIA E COMERCIO LTDA
17510;17510;1;Pc;Indisponível;0;STABILUS LTDA
