CODIGO_INTERNO;COD_FABRICANTE;NOME_FANTASIA;PRODUTO;QTDE_EMB;UNIDADE_MEDIDA;QTDE_SPNORTE;PRECO_SPNORTE;QTDE_ABC;PRECO_ABC;QTDE_SPLESTE;PRECO_SPLESTE
89031001624;GP30531;COFAP;AMORTECEDOR DIANTEIRO ESQ. TURBOGAS;1;PC;B;441,18;B;420,63;B;442,91
89031001744;GL12845;COFAP;AMORTECEDOR DIANTEIRO TURBOGAS;1;PC;B;275,23;;0;B;275,23
89031001841;GP32698;COFAP;AMORTECEDOR DIANTEIRO  DIR. - TURBOGAS;1;PC;B;294,28;B;286,48;A;291,63
89031002029;GL13135;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;A;217,95;B;218,75;B;220,35
89031002048;GP35971M;COFAP;AMORTECEDOR DIANTEIRO LD TURBOGAS;1;PC;B;405,77;B;404,07;B;403,62
89031002066;GP30529;COFAP;AMORTECEDOR DIANTEIRO ESQUERDO TURBOGAS;1;PC;B;343,55;B;343,55;A;343,55
89031002077;GB48255;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;A;289,79;;0;A;289,79
89031002122;GB48263;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;A;276,73;B;276,73;A;276,73
89031002124;GB48264;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;B;247,72;B;284,25;A;284,24
89031002138;GB27661;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;B;362,03;B;359,4;B;361,56
89031002142;GB27662;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;B;329,66;A;301,99;A;337,28
89031002206;GB48274;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;B;236,06;B;238,75;B;232,3
89031002224;GP33113;COFAP;AMORTECEDOR DIANTEIRO LE TURBOGAS;1;PC;B;380,88;;0;A;347,62
89031002317;GB48286;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;A;290,04;;0;A;290,04
89031002490;GP30577;COFAP;AMORTECEDOR DIANTEIRO LE TURBOGAS;1;PC;A;285,24;A;285,77;A;313,11
89031002493;GP33252;COFAP;AMORTECEDOR DIANTEIRO LD;1;PC;B;275,63;A;275,63;B;275,63
89031002498;GB48293;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;B;344,99;A;345,6;A;349,56
89031002503;GP30578;COFAP;AMORTECEDOR DIANTEIRO LD TURBOGAS;1;PC;A;285,24;B;285,75;A;313,1
89031002576;GB48301;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;B;289,42;B;289,43;;0
89031002689;GP30597;COFAP;AMORTECEDOR DIANTEIRO LE TURBOGAS;1;PC;B;338,44;A;311,69;B;331,64
89031002730;GP33306;COFAP;AMORTECEDOR DIANTEIRO LD TURBOGAS;1;PC;B;459,72;B;459,71;;0
89031002792;GL13741;COFAP;AMORTECEDOR TRASEIRO TURBOGAS;1;PC;B;291,88;B;291,85;A;265,38
